fraud,totalScanTimeInSeconds,lineItemVoids,quantityModification,grandTotal,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,scansWithoutRegistration,trustLevel
0,1785,0,2,4.79,0.0128852,0.00268347,0,2,4
0,1187,8,1,46.24,0.0084246,0.0389553,0.8,8,5
0,1237,8,0,52.23,0.0121261,0.0422231,0.533333,8,2
0,321,7,5,93.19,0.00934579,0.290312,2.33333,0,3
0,1165,7,3,21.61,0.00686695,0.0185494,0.875,10,6
0,1000,7,5,38.16,0.007,0.03816,1,5,1
0,1433,1,3,41.19,0.00209351,0.0287439,0.333333,1,6
0,694,2,0,90.67,0.0144092,0.130648,0.2,6,4
0,695,6,2,68.07,0.0345324,0.0979424,0.25,8,5
0,1059,11,2,69.08,0.0169972,0.0652314,0.611111,0,6
0,1590,0,5,54.18,0.00251572,0.0340755,0,9,3
0,685,5,4,65.87,0.00291971,0.0961606,2.5,2,2
0,1055,8,4,79.44,0.0227488,0.0752986,0.333333,1,1
0,93,9,4,41.99,0.301075,0.451505,0.321429,10,4
0,752,7,4,19.57,0.0119681,0.0260239,0.777778,2,3
0,1143,9,3,65.17,0.00524934,0.0570166,1.5,3,2
0,1565,1,2,0.88,0.0057508,0.0005623,0.111111,5,4
0,1163,11,5,90.61,0.0163371,0.0779106,0.578947,7,6
0,1541,4,0,66.04,0.00908501,0.0428553,0.285714,9,3
1,1610,10,0,16.5,0.0186335,0.0102484,0.333333,4,1
0,190,9,4,63.3,0.0736842,0.333158,0.642857,1,5
0,67,3,4,26.92,0.149254,0.401791,0.3,8,3
0,1516,1,3,19.69,0.00725594,0.0129881,0.0909091,5,5
0,1583,5,0,52.64,0.013266,0.0332533,0.238095,9,6
0,578,7,4,41.71,0.00346021,0.0721626,3.5,5,5
0,540,11,4,5.79,0.0203704,0.0107222,1,4,5
0,925,7,5,94.04,0.0183784,0.101665,0.411765,6,2
0,150,0,0,26.65,0.18,0.177667,0,3,5
1,1491,6,0,85.08,0.0181087,0.0570624,0.222222,6,2
0,588,8,2,81.47,0.0085034,0.138554,1.6,2,3
0,1603,7,3,80.92,0.00311915,0.0504803,1.4,0,4
0,424,10,5,46.56,0.0306604,0.109811,0.769231,7,5
0,301,9,3,48,0.0199336,0.159468,1.5,8,4
0,1769,2,3,76.31,0.0130017,0.0431374,0.0869565,9,3
0,196,9,2,70.48,0.122449,0.359592,0.375,8,2
