fraud,trustLevel,totalScanTimeInSeconds,lineItemVoids,quantityModification,grandTotal,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,scansWithoutRegistration
1,1,1639,9,2,92.58,0.0183038,0.0564857,0.3,10
1,2,1356,4,3,18.99,0.0221239,0.0140044,0.133333,8
1,1,1111,5,5,63.75,0.0270027,0.0573807,0.166667,5
1,1,887,8,0,79.47,0.0293123,0.0895941,0.307692,8
1,1,1601,7,1,39.81,0.0162399,0.0248657,0.269231,1
1,1,1303,6,1,80.97,0.018419,0.0621412,0.25,6
1,1,994,2,4,27.74,0.028169,0.0279074,0.0714286,3
1,1,1739,10,5,67.37,0.013801,0.0387407,0.416667,4
1,1,854,10,4,67.09,0.029274,0.0785597,0.4,4
1,1,727,0,1,60.61,0.0412655,0.08337,0,3
1,1,1356,0,3,36.52,0.0199115,0.0269322,0,9
1,2,1762,6,0,76.17,0.0164586,0.0432293,0.206897,2
1,1,1620,10,5,62.06,0.0135802,0.0383086,0.454545,8
1,1,337,6,2,67.84,0.0652819,0.201306,0.272727,10
1,2,643,9,4,60.15,0.0435459,0.0935459,0.321429,8
1,1,235,6,4,11.65,0.12766,0.0495745,0.2,7
1,1,1198,5,2,51.51,0.024207,0.0429967,0.172414,9
1,2,1402,3,3,43.17,0.0192582,0.0307917,0.111111,8
1,1,1545,8,3,95.85,0.0148867,0.0620388,0.347826,1
1,2,1223,6,4,68.15,0.0245298,0.0557236,0.2,7
1,2,1741,11,5,73.02,0.0160827,0.0419414,0.392857,5
1,2,1459,10,4,56.64,0.020562,0.0388211,0.333333,10
1,1,1385,11,3,27.99,0.0129964,0.0202094,0.611111,10
1,1,1562,0,3,79.42,0.0134443,0.0508451,0,9
1,2,1313,9,0,50.19,0.019802,0.0382254,0.346154,9
1,1,1759,2,2,62.48,0.0147811,0.0355202,0.0769231,5
1,1,1141,11,3,19.86,0.0210342,0.0174058,0.458333,3
1,2,1466,9,3,33.29,0.0163711,0.022708,0.375,10
1,1,4,10,0,93.41,6.75,23.3525,0.37037,9
1,1,1484,1,2,98.58,0.0181941,0.0664286,0.037037,2
1,1,1264,6,3,41.81,0.0205696,0.0330775,0.230769,8
1,1,1057,3,0,76.56,0.0283822,0.0724314,0.1,0
1,1,323,10,4,72.59,0.0743034,0.224737,0.416667,5
1,1,1807,7,1,74.81,0.0138351,0.0414001,0.28,8
1,1,634,4,1,1.14,0.0425868,0.00179811,0.148148,8
1,1,1577,1,4,22,0.0158529,0.0139505,0.04,10
1,1,1561,10,3,73.92,0.0179372,0.0473543,0.357143,8
1,2,1596,3,4,44.53,0.0175439,0.027901,0.107143,8
1,1,943,2,4,71.32,0.0296925,0.075631,0.0714286,1
1,1,1198,0,5,61.56,0.0250417,0.0513856,0,6
1,1,1245,5,2,26.77,0.0232932,0.021502,0.172414,6
1,1,1233,10,0,12.67,0.0194647,0.0102758,0.416667,10
1,1,956,2,0,54.54,0.0292887,0.0570502,0.0714286,5
1,2,1270,2,3,63,0.0220472,0.0496063,0.0714286,10
1,1,713,4,0,97.43,0.0406732,0.136648,0.137931,2
1,1,1637,4,5,67.88,0.0140501,0.0414661,0.173913,4
1,1,1184,8,4,99.82,0.0219595,0.0843074,0.307692,4
1,1,1368,5,0,6.74,0.0190058,0.0049269,0.192308,3
1,1,400,9,0,59.78,0.0675,0.14945,0.333333,9
1,1,936,9,4,22.95,0.0299145,0.0245192,0.321429,8
1,2,1627,4,2,18.3,0.0178242,0.0112477,0.137931,2
1,2,1288,3,3,73.43,0.0225155,0.0570109,0.103448,6
1,1,1510,9,3,93.57,0.0172185,0.0619669,0.346154,5
1,1,1813,1,0,97.93,0.015444,0.0540154,0.0357143,4
1,1,277,5,5,40.22,0.0938628,0.145199,0.192308,9
1,1,1614,10,3,54.6,0.0123916,0.033829,0.5,10
1,1,630,8,3,14.39,0.047619,0.0228413,0.266667,3
1,2,989,5,1,27.84,0.0283114,0.0281496,0.178571,8
1,1,643,6,1,16.23,0.037325,0.0252411,0.25,10
1,1,1080,0,1,40.84,0.0222222,0.0378148,0,9
1,1,1580,0,1,90.36,0.0170886,0.0571899,0,2
1,1,1467,11,3,73.94,0.0204499,0.0504022,0.366667,0
1,2,357,6,2,46.21,0.0812325,0.12944,0.206897,9
1,1,971,8,5,14.33,0.0247168,0.014758,0.333333,9
1,1,1218,5,4,43.5,0.0197044,0.0357143,0.208333,9
1,2,957,9,2,33.98,0.031348,0.0355068,0.3,4
1,1,1024,1,3,36.61,0.0292969,0.035752,0.0333333,4
1,1,757,6,2,65.62,0.0290621,0.0866843,0.272727,9
1,2,1420,9,4,61.13,0.0183099,0.0430493,0.346154,6
1,1,793,3,1,71.77,0.037831,0.0905044,0.1,6
1,1,1831,1,2,4.63,0.0131076,0.00252867,0.0416667,8
1,2,1746,1,1,92.08,0.0166094,0.0527377,0.0344828,10
1,2,1721,10,0,58.8,0.0162696,0.0341662,0.357143,9
1,1,568,11,4,93.43,0.0387324,0.164489,0.5,5
1,1,708,7,3,69.55,0.0381356,0.0982345,0.259259,6
1,1,351,0,4,22.69,0.0797721,0.0646439,0,8
1,1,700,5,5,16.42,0.0371429,0.0234571,0.192308,9
1,1,1809,11,4,37.98,0.010503,0.020995,0.578947,4
1,2,1622,9,3,30.81,0.0166461,0.0189951,0.333333,4
1,1,1563,7,2,69.74,0.0191939,0.0446193,0.233333,0
1,1,1497,11,3,55.43,0.0133601,0.0370274,0.55,6
1,1,412,3,3,40.58,0.0703883,0.0984951,0.103448,10
1,1,1649,5,4,30.69,0.0181928,0.0186113,0.166667,3
1,2,1512,9,1,50.4,0.0178571,0.0333333,0.333333,2
1,2,1244,11,3,72.06,0.0241158,0.057926,0.366667,9
1,1,942,10,5,29.2,0.029724,0.0309979,0.357143,6
1,1,974,10,1,20.85,0.0297741,0.0214066,0.344828,9
1,1,799,11,0,4.81,0.0312891,0.00602003,0.44,8
1,1,283,10,3,14.33,0.106007,0.050636,0.333333,7
1,1,1048,10,1,75.41,0.0219466,0.0719561,0.434783,6
1,1,73,9,0,28.18,0.356164,0.386027,0.346154,6
1,1,1052,5,4,74.5,0.0247148,0.0708175,0.192308,4
1,2,1476,7,5,42.59,0.0203252,0.028855,0.233333,5
1,1,990,9,0,55.95,0.0282828,0.0565152,0.321429,5
1,1,1709,5,2,48.92,0.0134582,0.0286249,0.217391,5
1,1,1352,6,5,26.28,0.0177515,0.0194379,0.25,9
1,2,315,11,5,94.3,0.0952381,0.299365,0.366667,10
1,1,1382,6,1,57.84,0.0217077,0.0418524,0.2,2
1,2,349,9,5,20.8,0.0859599,0.0595989,0.3,7
1,1,1610,10,5,21.77,0.0149068,0.0135217,0.416667,5
1,1,764,3,5,21.87,0.039267,0.0286257,0.1,2
1,2,1045,10,0,67.15,0.0287081,0.0642584,0.333333,7
1,1,530,8,3,24.65,0.0509434,0.0465094,0.296296,10
1,1,391,9,5,75.67,0.0767263,0.193529,0.3,3
1,2,1685,6,4,62.78,0.0178042,0.0372582,0.2,0
1,1,665,8,4,1.79,0.0421053,0.00269173,0.285714,1
1,1,570,7,1,69.65,0.045614,0.122193,0.269231,7
1,1,1210,6,2,19.4,0.0206612,0.0160331,0.24,5
1,1,523,4,2,53.82,0.0554493,0.102906,0.137931,2
1,1,1519,11,1,85.77,0.0190915,0.0564648,0.37931,5
1,2,1547,6,3,4.78,0.0174531,0.00308985,0.222222,10
1,2,699,11,0,40.4,0.0414878,0.0577969,0.37931,5
1,1,890,6,3,18.01,0.0325843,0.020236,0.206897,9
1,1,1751,9,5,54.06,0.0125642,0.0308738,0.409091,9
1,1,596,9,3,65.97,0.0486577,0.110688,0.310345,7
1,1,1632,9,5,27.69,0.0177696,0.0169669,0.310345,7
1,1,762,9,1,4.88,0.0380577,0.0064042,0.310345,4
1,1,840,7,3,61.56,0.0297619,0.0732857,0.28,6
1,1,1399,7,5,88.61,0.0192995,0.0633381,0.259259,4
1,1,1706,0,2,10.88,0.0123095,0.00637749,0,10
1,1,1556,5,3,52.61,0.0167095,0.0338111,0.192308,7
1,1,1036,2,3,95.16,0.0241313,0.0918533,0.08,9
1,1,1746,11,4,70.03,0.0143184,0.0401088,0.44,2
1,1,332,3,4,38.29,0.0843373,0.115331,0.107143,4
1,1,1489,9,3,8.16,0.0161182,0.00548019,0.375,2
1,1,556,1,5,89.12,0.0521583,0.160288,0.0344828,6
1,1,1189,1,4,46,0.0235492,0.038688,0.0357143,7
1,1,196,10,3,37.48,0.137755,0.191224,0.37037,2
1,1,808,9,2,92.72,0.029703,0.114752,0.375,3
1,1,1377,5,1,67.81,0.0188816,0.0492447,0.192308,1
1,1,1742,9,0,70.83,0.0160735,0.0406602,0.321429,10
1,1,1575,11,4,4.33,0.0120635,0.00274921,0.578947,7
1,2,279,8,4,92.99,0.107527,0.333297,0.266667,9
1,1,1480,6,1,72.98,0.0141892,0.0493108,0.285714,5
1,1,661,6,5,74.09,0.0378215,0.112088,0.24,8
