fraud,trustLevel,totalScanTimeInSeconds,lineItemVoids,quantityModification,grandTotal,scannedLineItemsPerSecond,valuePerSecond,lineItemVoidsPerPosition,scansWithoutRegistration
0 1,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,meta,,,,,,,,
1,1,1639,9,2,92.58,0.0183038,0.0564857,0.3,10
1,2,1356,4,3,18.99,0.0221239,0.0140044,0.133333,8
1,1,1111,5,5,63.75,0.0270027,0.0573807,0.166667,5
1,1,887,8,0,79.47,0.0293123,0.0895941,0.307692,8
1,1,1601,7,1,39.81,0.0162399,0.0248657,0.269231,1
1,1,1303,6,1,80.97,0.018419,0.0621412,0.25,6
1,1,994,2,4,27.74,0.028169,0.0279074,0.0714286,3
1,1,1739,10,5,67.37,0.013801,0.0387407,0.416667,4
1,1,854,10,4,67.09,0.029274,0.0785597,0.4,4
1,1,727,0,1,60.61,0.0412655,0.08337,0,3
1,1,1356,0,3,36.52,0.0199115,0.0269322,0,9
1,2,1762,6,0,76.17,0.0164586,0.0432293,0.206897,2
1,1,1620,10,5,62.06,0.0135802,0.0383086,0.454545,8
1,1,337,6,2,67.84,0.0652819,0.201306,0.272727,10
1,2,643,9,4,60.15,0.0435459,0.0935459,0.321429,8
1,1,235,6,4,11.65,0.12766,0.0495745,0.2,7
1,1,1198,5,2,51.51,0.024207,0.0429967,0.172414,9
1,2,1402,3,3,43.17,0.0192582,0.0307917,0.111111,8
1,1,1545,8,3,95.85,0.0148867,0.0620388,0.347826,1
1,2,1223,6,4,68.15,0.0245298,0.0557236,0.2,7
1,2,1741,11,5,73.02,0.0160827,0.0419414,0.392857,5
1,2,1459,10,4,56.64,0.020562,0.0388211,0.333333,10
1,1,1385,11,3,27.99,0.0129964,0.0202094,0.611111,10
1,1,1562,0,3,79.42,0.0134443,0.0508451,0,9
1,2,1313,9,0,50.19,0.019802,0.0382254,0.346154,9
1,1,1759,2,2,62.48,0.0147811,0.0355202,0.0769231,5
1,1,1141,11,3,19.86,0.0210342,0.0174058,0.458333,3
1,2,1466,9,3,33.29,0.0163711,0.022708,0.375,10
1,1,4,10,0,93.41,6.75,23.3525,0.37037,9
1,1,1484,1,2,98.58,0.0181941,0.0664286,0.037037,2
1,1,1264,6,3,41.81,0.0205696,0.0330775,0.230769,8
1,1,1057,3,0,76.56,0.0283822,0.0724314,0.1,0
1,1,323,10,4,72.59,0.0743034,0.224737,0.416667,5
1,1,1807,7,1,74.81,0.0138351,0.0414001,0.28,8
1,1,634,4,1,1.14,0.0425868,0.00179811,0.148148,8
1,1,1577,1,4,22,0.0158529,0.0139505,0.04,10
1,1,1561,10,3,73.92,0.0179372,0.0473543,0.357143,8
1,2,1596,3,4,44.53,0.0175439,0.027901,0.107143,8
1,1,943,2,4,71.32,0.0296925,0.075631,0.0714286,1
1,1,1198,0,5,61.56,0.0250417,0.0513856,0,6
1,1,1245,5,2,26.77,0.0232932,0.021502,0.172414,6
1,1,1233,10,0,12.67,0.0194647,0.0102758,0.416667,10
1,1,956,2,0,54.54,0.0292887,0.0570502,0.0714286,5
1,2,1270,2,3,63,0.0220472,0.0496063,0.0714286,10
1,1,713,4,0,97.43,0.0406732,0.136648,0.137931,2
1,1,1637,4,5,67.88,0.0140501,0.0414661,0.173913,4
